"id","ph","k","ca","mg","acidez","p","fe","cu","zn","mn","sat_aci","latitud","longitud","ordenes","suborden"
59,"4.52","0.12","1.9","1.8","2.5","4","159","10","2.9","27","39","10.43651","-83.98742","ULTISOLES / INCEPTISOLES","Udults / Udepts"
60,"5.3","0.38","2.6","1","0.5","4","61","8","1.4","16","11","10.32436","-83.92191","ULTISOLES / INCEPTISOLES","Udults / Udepts"
61,"5.6","0.25","6.6","2.2","0.6","18","105","12","3.1","38","6","10.38132","-83.89001","ULTISOLES / INCEPTISOLES","Udults / Udepts"
62,"4.3","0.17","2.7","1","2.6","9","223","5","2.1","66","40","10.40009","-83.96747","ULTISOLES / INCEPTISOLES","Udults / Udepts"
63,"5.2","0.2","5.1","1.1","0.2","7","49","2","0.3","4","2","10.24902","-83.89246","ANDISOLES","Udands"
64,"5.9","0.08","4","1.7","0.7","4","134","5","0.7","13","10","10.34966","-83.87113","ULTISOLES / INCEPTISOLES","Udults / Udepts"
65,"4.9","0.16","1.4","0.9","2.2","3","135","12","1.2","17","48","10.36604","-83.9171","ULTISOLES / INCEPTISOLES","Udults / Udepts"
66,"5.4","0.09","0.6","1.2","0.7","5","83","5","0.6","9","27","10.32354","-83.93044","ULTISOLES / INCEPTISOLES","Udults / Udepts"
67,"4.3","0.15","3.5","0.2","0.6","26","88","3","1.9","42","13","10.27628","-83.8934","INCEPTISOLES","Udepts"
68,"5.2","0.13","2.3","0.2","0.4","4","91","10","1.4","7","13","10.33441","-83.95498","ULTISOLES / INCEPTISOLES","Udults / Udepts"
69,"5.2","0.42","1.1","0.7","0.9","6","84","10","1.7","31","29","10.35584","-83.91829","ULTISOLES / INCEPTISOLES","Udults / Udepts"
70,"4.5","0.19","0.6","0.5","2.4","5","80","11","3","23","65","10.35584","-83.91829","ULTISOLES / INCEPTISOLES","Udults / Udepts"
71,"5.81","0.15","6.1","2.4","0.4","4","56","4","1.3","8","5","10.37931","-83.90847","ULTISOLES / INCEPTISOLES","Udults / Udepts"
72,"5.7","0.22","7.2","2.3","0.4","14","85","12","3.1","29","4","10.39232","-83.90778","ULTISOLES / INCEPTISOLES","Udults / Udepts"
75,"5.3","0.7","3.6","2.4","0.5","20","141","5","1","5","7","10.37308","-83.89622","ULTISOLES / INCEPTISOLES","Udults / Udepts"
76,"5.4","0.05","3.8","1.9","0.6","7","114","12","4.8","45","10","10.3463","-83.91739","ULTISOLES / INCEPTISOLES","Udults / Udepts"
